,State,Total night minutes,Total intl minutes,Churn,NewCol,NewCol_calc
93,ME,263.9,9.5,False,273.4,0
94,AZ,127.7,10.6,False,138.3,0
95,AK,163.2,9.8,False,173.0,0
96,MT,174.1,13.0,False,187.1,0
97,AZ,190.9,8.7,False,199.6,0
98,MS,167.2,5.3,True,172.5,1
99,ID,275.2,9.8,True,285.0,1
100,IA,160.2,4.4,False,164.6,0
101,MA,129.1,14.6,False,143.7,0
102,VT,180.0,10.5,False,190.5,0
103,KY,245.3,12.5,False,257.8,0
104,IN,248.6,11.3,False,259.9,0
105,AZ,190.0,11.8,False,201.8,0
106,MI,187.2,9.0,False,196.2,0
107,NM,217.0,9.8,False,226.8,0
108,CO,219.4,10.1,False,229.5,0
109,UT,241.4,9.6,False,251.0,0
110,MI,119.2,8.3,False,127.5,0
111,MA,222.8,12.6,False,235.4,0
112,AL,227.7,12.1,False,239.79999999999998,0
113,DE,247.8,13.3,False,261.1,0
114,AZ,211.4,9.4,False,220.8,0
115,ME,138.3,20.0,True,158.3,1
116,NJ,57.5,14.2,False,71.7,0
117,NV,170.0,9.4,True,179.4,1
118,MO,177.6,10.0,False,187.6,0
119,ID,143.3,8.7,False,152.0,0
120,NE,200.1,13.1,False,213.2,0
121,TX,142.2,7.2,False,149.39999999999998,0
122,MD,220.8,9.8,False,230.60000000000002,0
123,MS,112.9,11.6,False,124.5,0
124,NV,227.4,9.2,False,236.6,0
125,AZ,252.5,12.0,False,264.5,0
126,MS,154.8,9.1,True,163.9,1
127,MS,225.7,6.4,True,232.1,1
128,TX,175.0,9.2,False,184.2,0
129,NE,264.7,9.5,False,274.2,0
130,NE,146.9,10.9,False,157.8,0
131,CA,256.7,6.1,False,262.8,0
132,NJ,261.4,9.5,False,270.9,0
133,TX,206.1,7.1,False,213.2,0
134,AR,206.4,9.1,False,215.5,0
135,AL,247.2,11.2,False,258.4,0
136,NY,237.5,5.3,False,242.8,0
137,FL,195.6,12.0,False,207.6,0
138,AK,263.3,11.2,,274.5,0
139,NV,158.6,10.2,,168.79999999999998,0
140,DE,193.6,12.4,,206.0,0
141,MD,253.8,10.5,,264.3,0
142,MI,109.7,6.8,,116.5,0
143,VT,200.5,11.7,False,212.2,0
144,VT,249.4,14.1,True,263.5,1
145,MI,110.4,14.3,False,124.7,0
146,WA,203.4,13.7,False,217.1,0
147,UT,121.1,11.7,False,132.79999999999998,0
148,LA,161.6,8.5,False,170.1,0
149,RI,286.9,11.1,False,298.0,0
150,IA,172.3,10.6,False,182.9,0
151,NE,299.0,10.1,False,309.1,0
152,OH,227.3,7.5,False,234.8,0
153,RI,140.5,6.9,False,147.4,0
154,OK,269.5,11.5,False,281.0,0
155,LA,265.9,9.8,False,275.7,0
156,OH,153.9,15.8,True,169.70000000000002,1
157,VA,259.2,13.7,False,272.9,0
158,MO,178.6,10.2,False,188.79999999999998,0
159,FL,164.8,9.6,False,174.4,0
160,SC,137.5,7.1,False,144.6,0
161,VA,253.5,12.0,False,265.5,0
162,IA,229.5,10.5,False,240.0,0
163,MI,236.6,12.2,False,248.79999999999998,0
164,OK,167.2,6.1,False,173.29999999999998,0
165,DE,228.7,12.1,False,240.79999999999998,0
166,GA,264.8,7.5,False,272.3,0
167,DC,261.3,10.9,False,272.2,0
168,AZ,105.9,12.8,False,118.7,0
169,AL,154.0,6.3,False,160.3,0
170,CO,97.4,13.2,False,110.60000000000001,0
171,NH,164.7,10.6,False,175.29999999999998,0
172,NM,268.9,10.5,False,279.4,0
173,OR,182.4,14.1,False,196.5,0
174,LA,244.7,6.1,False,250.79999999999998,0
175,NE,170.9,11.1,False,182.0,0
176,MN,195.2,12.2,False,207.39999999999998,0
177,MI,195.2,11.5,False,206.7,0
178,AR,208.0,16.2,False,224.2,0
179,KS,201.2,0.0,False,201.2,0
180,WV,282.2,9.5,False,291.7,0
181,AK,136.8,11.9,True,148.70000000000002,1
182,NY,169.9,9.9,False,179.8,0
183,NH,214.0,14.6,False,228.6,0
184,VA,134.4,8.4,False,142.8,0
185,NM,241.2,10.8,False,252.0,0
186,NY,198.5,10.2,False,208.7,0
187,AZ,77.3,10.9,False,88.2,0
188,WY,187.1,9.0,False,196.1,0
189,WA,231.2,9.1,False,240.29999999999998,0
190,CO,112.2,8.9,False,121.10000000000001,0
191,TX,238.0,9.5,False,247.5,0
192,KY,208.2,8.8,False,217.0,0
193,MT,150.0,13.4,False,163.4,0
194,OK,119.1,9.5,False,128.6,0
195,MD,180.5,6.8,False,187.3,0
196,TN,261.5,9.7,False,271.2,0
197,TX,181.7,10.7,True,192.39999999999998,1
198,ME,255.3,13.8,True,269.1,1
199,DC,245.7,13.0,False,258.7,0
200,MN,249.9,13.1,False,263.0,0
201,DE,245.0,11.2,False,256.2,0
202,MD,240.5,6.4,False,246.9,0
203,MI,217.0,6.8,False,223.8,0
204,WA,198.1,9.4,False,207.5,0
205,MO,190.4,12.1,False,202.5,0
206,IN,179.8,13.7,False,193.5,0
207,OR,223.3,10.8,False,234.10000000000002,0
208,MD,260.1,12.2,False,272.3,0
209,RI,226.1,15.8,False,241.9,0
210,LA,188.2,11.6,False,199.79999999999998,0
211,AZ,194.3,11.9,False,206.20000000000002,0
212,PA,122.4,10.7,False,133.1,0
213,AZ,246.9,12.2,False,259.1,0
214,FL,73.2,17.6,True,90.80000000000001,1
215,LA,225.2,11.5,False,236.7,0
216,FL,172.5,10.9,False,183.4,0
217,FL,265.4,4.7,False,270.09999999999997,0
218,MD,151.0,13.0,True,164.0,1
219,AL,188.7,7.1,False,195.79999999999998,0
220,WA,212.2,12.2,False,224.39999999999998,0
221,TN,244.9,10.2,False,255.1,0
222,MS,220.2,4.4,False,224.6,0
223,ME,174.3,8.9,False,183.20000000000002,0
224,OK,236.0,13.8,False,249.8,0
225,IN,250.1,2.7,False,252.79999999999998,0
226,MO,221.5,7.7,False,229.2,0
227,IA,76.5,9.6,False,86.1,0
228,VA,136.9,13.3,False,150.20000000000002,0
229,KY,163.3,11.9,False,175.20000000000002,0
230,MD,217.6,10.5,True,228.1,1
231,OH,197.6,11.0,False,208.6,0
232,OK,180.9,13.5,False,194.4,0
233,NV,154.3,10.9,False,165.20000000000002,0
234,ID,233.2,9.0,False,242.2,0
235,MN,193.6,10.2,True,203.79999999999998,1
236,SD,234.9,9.0,False,243.9,0
237,IL,192.2,9.8,False,202.0,0
238,WY,226.6,10.7,False,237.29999999999998,0
239,AL,139.8,9.4,False,149.20000000000002,0
240,NJ,195.3,12.9,False,208.20000000000002,0
241,NV,223.1,12.3,True,235.4,1
242,IN,275.8,8.4,False,284.2,0
243,WV,194.3,7.1,False,201.4,0
244,VA,354.9,9.4,True,364.29999999999995,1
245,SC,202.3,9.5,False,211.8,0
246,RI,261.8,11.1,False,272.90000000000003,0
247,IN,283.4,10.2,False,293.59999999999997,0
248,AZ,245.9,9.2,False,255.1,0
249,NM,228.4,11.8,False,240.20000000000002,0
250,OR,279.2,13.9,True,293.09999999999997,1
251,NJ,191.8,14.4,False,206.20000000000002,0
252,MS,172.4,9.1,False,181.5,0
253,MI,236.9,9.5,False,246.4,0
254,TX,178.3,10.9,False,189.20000000000002,0
255,FL,173.1,14.1,False,187.2,0
256,DC,231.6,9.8,False,241.4,0
257,TX,193.4,14.5,False,207.9,0
258,KS,221.7,10.4,True,232.1,1
259,UT,169.4,8.7,False,178.1,0
260,MN,231.2,6.7,False,237.89999999999998,0
261,IL,223.9,15.4,False,239.3,0
262,NM,185.2,11.5,False,196.7,0
263,SC,241.0,12.5,False,253.5,0
264,NC,146.5,8.3,False,154.8,0
265,WV,291.6,11.4,False,303.0,0
266,RI,232.4,8.4,False,240.8,0
267,NH,263.9,13.5,False,277.4,0
268,MO,147.4,4.5,False,151.9,0
269,MA,184.8,9.9,False,194.70000000000002,0
270,PA,249.9,14.6,False,264.5,0
271,OK,200.9,7.7,False,208.6,0
272,AL,206.2,8.0,False,214.2,0
273,WY,203.2,13.0,False,216.2,0
274,PA,239.2,10.0,False,249.2,0
275,WA,122.5,9.8,False,132.3,0
276,HI,203.3,11.1,False,214.4,0
277,SD,214.2,6.5,True,220.7,1
278,AL,254.2,10.9,False,265.09999999999997,0
279,VT,222.7,10.5,False,233.2,0
280,MT,188.2,13.0,False,201.2,0
281,MN,193.3,10.4,False,203.70000000000002,0
282,AK,144.1,12.2,False,156.29999999999998,0
283,MI,240.3,9.0,False,249.3,0
284,DE,281.4,6.7,False,288.09999999999997,0
285,SD,252.1,15.6,False,267.7,0
286,MI,194.5,8.8,False,203.3,0
287,KS,289.9,14.5,False,304.4,0
288,AL,255.2,14.1,False,269.3,0
289,OK,312.1,5.3,True,317.40000000000003,1
290,CT,299.3,8.0,False,307.3,0
291,NE,125.1,9.7,False,134.79999999999998,0
292,WI,146.7,5.9,False,152.6,0
293,CT,216.1,10.3,True,226.4,1
294,WI,259.5,9.8,False,269.3,0
295,IN,216.8,9.5,False,226.3,0
296,DC,142.4,10.1,False,152.5,0
297,AR,240.4,11.9,False,252.3,0
298,ME,207.1,6.6,False,213.7,0
299,MN,287.7,6.6,False,294.3,0
300,MD,195.4,11.9,False,207.3,0
301,FL,207.2,5.9,True,213.1,1
302,RI,297.0,11.2,True,308.2,1
303,IA,241.1,9.1,False,250.2,0
304,AZ,214.1,10.3,False,224.4,0
305,MO,173.1,9.1,False,182.2,0
306,VT,213.8,8.5,True,222.3,1
307,IN,133.9,11.4,True,145.3,1
308,RI,183.4,11.4,False,194.8,0
309,SD,183.5,8.9,False,192.4,0
310,MN,265.7,13.2,True,278.9,1
311,TX,183.5,9.7,False,193.2,0
312,VA,220.1,10.9,False,231.0,0
313,MA,205.0,9.8,False,214.8,0
314,ID,254.4,18.9,False,273.3,0
315,MA,123.9,12.4,False,136.3,0
316,GA,160.5,7.7,False,168.2,0
317,RI,147.6,7.6,False,155.2,0
318,ID,273.0,5.0,False,278.0,0
319,SD,154.9,9.4,True,164.3,1
320,MA,287.4,6.2,False,293.59999999999997,0
321,WY,232.4,12.9,False,245.3,0
322,VA,234.9,10.0,False,244.9,0
323,OR,251.6,11.3,False,262.9,0
324,VA,245.1,13.4,False,258.5,0
325,ME,152.3,7.1,False,159.4,0
326,AL,197.4,11.4,False,208.8,0
327,GA,156.3,9.5,False,165.8,0
328,IA,188.4,12.5,False,200.9,0
329,AZ,79.7,14.4,False,94.10000000000001,0
330,FL,130.2,7.9,False,138.1,0
331,MT,197.4,9.5,True,206.9,1
332,AL,138.4,12.2,True,150.6,1
333,DE,206.3,9.3,False,215.60000000000002,0
334,MT,233.2,7.5,False,240.7,0
335,KY,169.1,8.6,False,177.7,0
336,SC,170.2,10.6,False,180.79999999999998,0
337,WA,302.8,7.0,False,309.8,0
338,OR,212.7,7.6,False,220.29999999999998,0
339,AK,175.5,14.6,False,190.1,0
340,GA,262.6,9.1,True,271.70000000000005,1
341,MN,275.0,10.8,False,285.8,0
342,IL,227.7,14.0,False,241.7,0
343,IN,244.8,0.0,False,244.8,0
344,SC,165.9,13.3,False,179.20000000000002,0
345,VA,135.0,7.2,False,142.2,0
346,WI,261.3,12.2,False,273.5,0
347,VT,186.7,10.5,False,197.2,0
348,AZ,127.6,13.1,False,140.7,0
349,FL,243.1,12.8,True,255.9,1
350,AK,229.9,11.3,False,241.20000000000002,0
351,AR,237.3,10.1,False,247.4,0
352,AR,96.4,5.3,False,101.7,0
353,AK,204.0,14.7,False,218.7,0
354,MS,194.1,13.2,True,207.29999999999998,1
355,ME,213.7,12.7,False,226.39999999999998,0
356,CA,206.0,11.3,False,217.3,0
357,NM,122.4,8.5,False,130.9,0
358,NE,114.3,9.2,False,123.5,0
359,SC,178.4,5.8,False,184.20000000000002,0
360,CO,183.0,8.8,True,191.8,1
361,DE,253.0,11.3,False,264.3,0
362,OH,222.1,12.0,False,234.1,0
363,MS,309.6,11.3,False,320.90000000000003,0
364,OK,192.1,10.9,False,203.0,0
365,CO,253.9,10.1,True,264.0,1
366,NC,128.6,9.1,False,137.7,0
367,MD,255.0,18.0,False,273.0,0
368,KS,146.7,7.6,False,154.29999999999998,0
369,MA,164.9,16.0,False,180.9,0
370,NC,204.4,10.3,False,214.70000000000002,0
371,NM,225.3,10.6,False,235.9,0
372,CA,269.2,12.4,True,281.59999999999997,1
373,NY,167.3,14.8,False,182.10000000000002,0
374,AZ,276.9,9.2,False,286.09999999999997,0
375,SD,134.5,10.6,False,145.1,0
376,DC,187.9,11.2,False,199.1,0
377,ND,226.1,6.7,False,232.79999999999998,0
378,MO,198.9,11.5,True,210.4,1
379,KS,233.1,6.8,False,239.9,0
380,SD,218.6,14.7,False,233.29999999999998,0
381,OK,240.0,14.7,False,254.7,0
382,OR,249.5,5.7,False,255.2,0
383,IN,225.6,3.7,False,229.29999999999998,0
384,OH,187.9,7.2,False,195.1,0
385,KS,204.7,10.7,False,215.39999999999998,0
386,CT,321.3,8.9,False,330.2,0
387,NH,127.8,8.5,False,136.3,0
388,WI,148.2,10.7,False,158.89999999999998,0
389,MS,285.1,10.2,False,295.3,0
390,WV,214.7,11.1,False,225.79999999999998,0
391,MA,213.1,8.7,False,221.79999999999998,0
392,MD,232.8,12.4,False,245.20000000000002,0
393,PA,185.7,9.4,False,195.1,0
394,WI,166.2,10.8,True,177.0,1
395,TN,107.6,9.7,False,117.3,0
396,TX,204.1,7.8,False,211.9,0
397,OR,234.2,2.0,True,236.2,1
398,IL,186.5,8.5,False,195.0,0
399,DC,191.7,10.6,True,202.29999999999998,1
400,GA,226.7,12.0,False,238.7,0
401,ID,240.1,10.6,False,250.7,0
402,UT,165.1,9.9,False,175.0,0
403,KY,160.6,11.2,False,171.79999999999998,0
404,OH,201.4,7.5,False,208.9,0
405,WI,198.6,9.3,False,207.9,0
406,IL,247.4,6.8,False,254.20000000000002,0
407,DE,197.2,8.5,True,205.7,1
408,RI,135.0,10.3,False,145.3,0
409,TX,167.0,4.8,False,171.8,0
410,OR,203.0,8.4,False,211.4,0
411,NV,189.0,10.4,False,199.4,0
412,NE,168.8,5.4,False,174.20000000000002,0
413,MS,188.3,7.0,False,195.3,0
414,OR,219.4,10.0,False,229.4,0
415,DE,238.4,8.7,True,247.1,1
416,DE,212.4,5.0,True,217.4,1
417,AZ,209.5,9.8,False,219.3,0
418,SD,239.3,16.0,False,255.3,0
419,NV,212.5,7.5,False,220.0,0
420,NM,171.8,9.3,False,181.10000000000002,0
421,MN,77.2,15.3,False,92.5,0
422,NJ,197.3,12.5,False,209.8,0
423,IN,263.6,10.3,False,273.90000000000003,0
424,DC,200.0,11.3,False,211.3,0
425,MA,205.2,10.9,False,216.1,0
426,ME,180.2,12.5,False,192.7,0
427,NH,217.4,9.6,False,227.0,0
428,AZ,209.3,11.2,False,220.5,0
429,OR,214.4,12.4,False,226.8,0
430,KS,195.0,13.3,True,208.3,1
431,NE,181.0,11.4,False,192.4,0
432,MI,259.2,12.8,False,272.0,0
433,SC,155.6,11.8,False,167.4,0
434,PA,203.2,8.6,False,211.79999999999998,0
435,MT,164.2,11.2,False,175.39999999999998,0
436,NM,214.6,8.0,False,222.6,0
437,OH,219.5,8.3,True,227.8,1
438,WY,189.4,13.5,False,202.9,0
439,MI,198.5,6.3,False,204.8,0
440,AR,245.8,12.3,False,258.1,0
441,FL,145.7,12.4,False,158.1,0
442,AR,131.6,6.8,False,138.4,0
443,MO,154.5,12.6,False,167.1,0
444,WI,349.2,9.6,False,358.8,0
445,TX,208.3,11.1,False,219.4,0
446,TX,179.1,9.6,False,188.7,0
447,NM,192.9,6.9,False,199.8,0
448,GA,107.9,12.2,False,120.10000000000001,0
449,ID,173.4,6.3,False,179.70000000000002,0
450,AL,202.2,12.5,False,214.7,0
451,KS,245.7,9.8,False,255.5,0
452,SD,260.0,8.3,False,268.3,0
453,LA,190.7,14.3,False,205.0,0
454,OH,222.7,11.1,True,233.79999999999998,1
455,MA,160.5,14.8,True,175.3,1
456,AZ,223.6,9.3,False,232.9,0
457,KY,115.7,9.7,False,125.4,0
458,DC,180.3,6.0,False,186.3,0
459,WA,153.7,11.0,False,164.7,0
460,UT,136.6,9.6,False,146.2,0
461,RI,299.7,9.6,False,309.3,0
462,OH,208.4,10.1,False,218.5,0
463,NV,280.5,5.9,False,286.4,0
464,ND,272.4,8.5,False,280.9,0
465,NV,182.1,13.6,True,195.7,1
466,FL,258.8,10.5,True,269.3,1
467,MD,258.3,11.6,False,269.90000000000003,0
468,AZ,244.9,11.1,False,256.0,0
469,AL,160.2,17.2,False,177.39999999999998,0
470,NE,240.7,10.6,False,251.29999999999998,0
471,NV,176.0,9.5,False,185.5,0
472,IL,181.7,6.3,False,188.0,0
473,WV,163.3,6.2,True,169.5,1
474,MI,162.8,14.8,False,177.60000000000002,0
475,AR,289.2,9.9,False,299.09999999999997,0
476,UT,225.1,11.7,False,236.79999999999998,0
477,GA,220.3,7.6,False,227.9,0
478,AZ,294.7,8.1,False,302.8,0
479,ID,271.5,11.2,False,282.7,0
480,HI,112.3,11.6,False,123.89999999999999,0
481,NV,255.4,5.3,False,260.7,0
482,MD,257.4,8.1,False,265.5,0
483,GA,212.7,13.3,False,226.0,0
484,GA,223.5,11.0,False,234.5,0
485,UT,132.7,6.7,False,139.39999999999998,0
486,MA,146.9,12.8,False,159.70000000000002,0
487,IN,244.3,10.5,False,254.8,0
488,VT,228.4,0.0,False,228.4,0
489,IA,186.3,12.3,False,198.60000000000002,0
490,IN,280.2,12.8,False,293.0,0
491,AL,203.7,14.3,True,218.0,1
492,ME,244.2,9.4,True,253.6,1
493,RI,263.4,5.9,False,269.29999999999995,0
494,MD,250.6,8.2,False,258.8,0
495,FL,179.6,11.1,False,190.7,0
496,CA,126.8,8.0,False,134.8,0
497,AL,180.5,11.9,False,192.4,0
498,ME,175.9,9.7,True,185.6,1
499,WV,75.8,7.5,False,83.3,0
500,SD,240.4,12.6,False,253.0,0
501,FL,251.9,7.5,False,259.4,0
502,MI,221.7,17.5,True,239.2,1
503,MI,280.7,9.3,False,290.0,0
504,NM,263.6,12.4,False,276.0,0
505,AK,261.9,11.1,False,273.0,0
506,OH,227.8,11.4,False,239.20000000000002,0
507,MO,288.0,5.6,True,293.6,1
508,KS,234.9,11.6,False,246.5,0
509,MS,169.7,9.6,True,179.29999999999998,1
510,VT,205.1,12.3,False,217.4,0
511,NE,146.2,14.8,False,161.0,0
512,VA,240.8,9.1,False,249.9,0
513,DE,227.2,6.6,False,233.79999999999998,0
514,AL,108.1,14.0,True,122.1,1
515,ID,144.9,17.5,False,162.4,0
516,MS,182.5,7.6,False,190.1,0
517,OK,123.4,9.4,False,132.8,0
518,NM,169.5,12.9,False,182.4,0
519,WI,113.5,9.0,False,122.5,0
520,WV,130.9,11.6,False,142.5,0
521,SC,239.6,8.2,True,247.79999999999998,1
522,KY,190.5,9.2,False,199.7,0
523,MO,152.9,9.8,False,162.70000000000002,0
524,IL,67.7,13.0,False,80.7,0
525,OK,163.1,10.5,False,173.6,0
526,MI,191.7,12.5,False,204.2,0
527,NJ,264.2,11.9,False,276.09999999999997,0
528,ID,199.3,8.6,False,207.9,0
529,DC,205.2,12.1,False,217.29999999999998,0
530,NY,232.0,7.8,False,239.8,0
531,AL,233.4,6.7,False,240.1,0
532,OR,207.7,10.7,False,218.39999999999998,0
533,OK,125.7,5.4,False,131.1,0
534,LA,246.5,9.2,False,255.7,0
535,NE,218.5,18.2,False,236.7,0
536,TX,196.8,14.0,False,210.8,0
537,UT,121.0,8.5,False,129.5,0
538,OR,224.7,12.4,False,237.1,0
539,NY,217.5,9.9,False,227.4,0
540,AL,113.5,7.8,False,121.3,0
541,RI,141.9,6.6,False,148.5,0
542,MN,265.2,14.2,True,279.4,1
543,NC,191.6,3.5,False,195.1,0
544,MD,76.4,12.2,False,88.60000000000001,0
545,RI,268.0,11.9,False,279.9,0
546,WI,171.0,8.4,True,179.4,1
547,VT,133.7,10.3,True,144.0,1
548,CT,255.0,5.9,False,260.9,0
549,OK,196.7,10.1,False,206.79999999999998,0
550,AK,158.8,7.9,True,166.70000000000002,1
551,NY,116.6,11.5,False,128.1,0
552,GA,192.4,10.2,True,202.6,1
553,UT,108.0,10.1,False,118.1,0
554,NM,149.5,12.7,False,162.2,0
555,NE,175.5,13.1,False,188.6,0
556,NJ,226.9,12.0,False,238.9,0
557,TX,236.6,9.5,False,246.1,0
558,MT,257.6,8.3,True,265.90000000000003,1
559,CO,308.2,7.7,False,315.9,0
560,VT,245.1,10.7,False,255.79999999999998,0
561,RI,178.7,7.2,False,185.89999999999998,0
562,WY,172.7,9.1,False,181.79999999999998,0
563,ID,230.8,10.9,False,241.70000000000002,0
564,CT,231.5,8.0,False,239.5,0
565,ME,123.0,4.7,False,127.7,0
566,AZ,248.7,11.3,False,260.0,0
567,MD,147.1,3.6,False,150.7,0
568,IN,143.9,10.0,False,153.9,0
569,NC,168.9,15.4,True,184.3,1
570,DE,187.2,10.3,False,197.5,0
571,MN,296.3,14.5,False,310.8,0
572,WI,138.7,10.8,False,149.5,0
573,FL,167.1,9.0,False,176.1,0
574,WV,279.8,9.9,True,289.7,1
575,SD,183.5,14.2,False,197.7,0
576,FL,217.5,13.7,False,231.2,0
577,OR,140.0,11.7,False,151.7,0
578,CO,144.1,7.7,False,151.79999999999998,0
579,CT,187.2,16.5,False,203.7,0
580,IN,246.0,7.4,True,253.4,1
581,PA,150.8,10.2,False,161.0,0
582,NM,168.9,10.7,False,179.6,0
583,ME,311.6,10.3,False,321.90000000000003,0
584,SD,183.9,9.8,True,193.70000000000002,1
585,AR,200.7,10.2,False,210.89999999999998,0
586,TX,215.8,8.4,False,224.20000000000002,0
587,NH,179.3,7.4,False,186.70000000000002,0
588,OK,170.1,13.5,True,183.6,1
589,WI,122.6,8.6,False,131.2,0
590,AL,158.6,11.3,False,169.9,0
591,PA,183.1,12.9,False,196.0,0
592,OK,207.2,9.6,False,216.79999999999998,0
593,ME,169.3,9.5,False,178.8,0
594,WV,269.7,12.5,False,282.2,0
595,HI,250.1,0.0,False,250.1,0
596,MN,193.4,9.6,False,203.0,0
597,NY,235.3,9.1,False,244.4,0
598,AZ,167.6,12.3,False,179.9,0
599,OH,246.8,9.2,False,256.0,0
600,MI,170.5,9.1,False,179.6,0
601,MA,121.6,13.9,True,135.5,1
602,WV,143.9,4.6,False,148.5,0
603,MI,244.3,11.6,False,255.9,0
604,NM,169.7,11.4,False,181.1,0
605,MO,265.0,12.7,True,277.7,1
606,RI,129.4,13.1,False,142.5,0
607,NC,240.1,6.6,False,246.7,0
608,WY,208.8,10.6,False,219.4,0
609,WY,163.2,8.7,False,171.89999999999998,0
610,PA,269.2,11.6,False,280.8,0
611,KY,299.0,12.7,False,311.7,0
612,OR,195.7,7.7,False,203.39999999999998,0
613,NV,190.5,13.2,True,203.7,1
614,DC,189.1,7.3,False,196.4,0
615,UT,233.1,8.0,False,241.1,0
616,WA,298.9,8.8,False,307.7,0
617,FL,194.8,14.0,False,208.8,0
618,VA,142.8,11.6,False,154.4,0
619,KS,266.9,14.5,True,281.4,1
620,KS,268.4,12.8,False,281.2,0
621,DC,157.0,11.5,False,168.5,0
622,ME,121.0,10.6,False,131.6,0
623,LA,264.6,7.1,False,271.70000000000005,0
624,DC,249.2,5.1,False,254.29999999999998,0
625,TX,144.6,13.8,False,158.4,0
626,NJ,205.1,4.1,True,209.2,1
627,DE,249.4,7.4,False,256.8,0
628,VT,152.1,6.5,False,158.6,0
629,GA,210.7,13.7,True,224.39999999999998,1
630,TX,225.1,13.9,False,239.0,0
631,MT,193.6,9.5,False,203.1,0
632,ND,180.0,4.8,False,184.8,0
633,NJ,220.0,15.6,False,235.6,0
